bol_window,bol_std,long_ma,short_ma,sharpe_ratio,win_rate
80,3.0,450,120,1.7601420368582084,44.44444444444444
160,1.0,350,120,1.7601144078034459,34.418604651162795
80,3.0,650,120,1.7599770310510772,43.333333333333336
120,1.0,250,120,1.7590868423895065,34.66135458167331
100,1.0,950,100,1.758434111854022,35.43689320388349
40,2.0,250,80,1.7584081741325968,34.21926910299003
60,3.0,350,60,1.7582789786026067,44.75524475524475
80,3.0,350,120,1.757851949510851,44.554455445544555
120,1.0,950,100,1.7568483144665132,37.244897959183675
120,1.0,450,80,1.756536998934548,35.55555555555556
120,3.0,450,100,1.755586204280999,54.21686746987952
60,2.0,850,80,1.7549105444489606,39.10891089108911
160,3.0,550,80,1.754062080131105,61.33333333333333
60,1.0,950,120,1.7535447510093376,25.75250836120401
100,1.0,650,120,1.7532781545281255,30.927835051546392
80,2.0,450,80,1.7526571697660238,40.09661835748793
80,1.0,850,80,1.7505634414321332,34.831460674157306
120,3.0,450,80,1.750205369982902,53.57142857142857
60,2.0,250,100,1.7495550315911772,37.03703703703704
60,3.0,550,20,1.7487122625205358,48.25174825174825
140,1.0,650,80,1.7477857798796046,33.33333333333333
60,3.0,50,20,1.7476594312210736,45.410628019323674
160,1.0,550,60,1.7469777587233628,29.468599033816425
100,3.0,250,80,1.7456768590445262,49.074074074074076
60,3.0,50,80,1.7433788325295616,44.76744186046512
140,1.0,750,80,1.743152692427126,33.07086614173229
80,4.0,850,80,1.74187047362705,72.41379310344827
160,1.0,950,120,1.7412779011192885,35.294117647058826
100,1.0,950,120,1.7410185830433718,32.64248704663213
100,3.0,650,120,1.7402404089321104,45.45454545454545
60,3.0,350,20,1.739182036890718,47.74193548387097
20,3.0,750,100,1.738530455975771,42.22222222222222
100,3.0,850,80,1.7374042241047336,51.31578947368421
40,1.0,450,120,1.735604053252181,28.254847645429365
140,2.0,450,120,1.7354512705689311,41.726618705035975
40,2.0,550,20,1.733219838157552,43.0
40,2.0,950,60,1.7316591194942628,36.940298507462686
40,3.0,950,120,1.7314273103839757,40.54054054054054
120,1.0,550,80,1.7303919296284105,35.22727272727273
60,1.0,550,100,1.7298890630550814,27.508090614886733
180,1.0,450,100,1.728858027911673,33.189655172413794
180,3.0,450,120,1.7252583671625756,53.96825396825397
60,3.0,550,60,1.7234684234219262,46.56488549618321
80,4.0,650,80,1.7215433077653584,68.75
140,1.0,950,120,1.7210495601263394,37.714285714285715
40,1.0,950,120,1.7173436649517433,26.515151515151516
60,3.0,950,80,1.717242204963526,49.523809523809526
140,1.0,850,80,1.7171898000482748,33.730158730158735
20,3.0,650,100,1.7165394606781932,41.54929577464789
60,1.0,450,120,1.716191732709469,26.89655172413793
80,4.0,950,80,1.7160808396912615,71.42857142857143
180,1.0,850,80,1.7158795216060503,31.379310344827587
140,1.0,950,100,1.7138923482874195,38.144329896907216
180,2.0,350,100,1.7129809592503644,46.808510638297875
80,4.0,750,80,1.712718540937169,67.74193548387096
80,3.0,250,100,1.7125290536962265,49.152542372881356
180,1.0,750,80,1.7122896503410974,30.927835051546392
20,3.0,850,100,1.7118432295567447,41.605839416058394
40,2.0,650,20,1.7117641045166707,42.78350515463917
20,2.0,950,100,1.7104288066375162,31.778425655976676
180,2.0,650,80,1.7098927126042744,45.73643410852713
160,1.0,850,60,1.7085420170654844,29.86666666666667
20,2.0,750,80,1.7085293669234707,31.805929919137466
20,2.0,750,120,1.7065367488854135,32.7217125382263
180,3.0,550,120,1.706184978150957,54.83870967741935
180,1.0,950,100,1.7060637538719094,34.67336683417086
80,1.0,950,60,1.7053177404699071,34.1692789968652
80,4.0,350,80,1.7052319519879058,64.1025641025641
60,3.0,450,60,1.7038581467883807,45.0
80,4.0,50,80,1.7036258208859747,61.702127659574465
80,4.0,150,80,1.7036258208859747,61.702127659574465
80,4.0,250,80,1.7017438252327697,62.22222222222222
80,2.0,950,120,1.6997997526686202,38.311688311688314
80,1.0,550,60,1.6987609343253258,32.848837209302324
180,1.0,650,80,1.6985674350597453,30.79470198675497
100,3.0,950,100,1.697532654776281,50.70422535211267
120,3.0,350,100,1.697475943121367,52.94117647058824
